"iso","adm1","umd_tree_cover_extent_2000__ha","area__ha"
"USA",1,9097762.680806668,13363463.843185915
"USA",2,50000791.3689849,150525616.1332192
"USA",3,1808868.713171843,29535713.067800235
"USA",4,7696079.6425118195,13769059.034247449
"USA",5,9842706.490672661,40961694.29066602
"USA",6,4775318.189132566,26974269.37583698
"USA",7,1002004.1023310415,1289227.803398489
"USA",8,169124.75272623083,529624.4507347089
"USA",9,3776.0272696529846,16607.29425651991
"USA",10,7424734.865570491,14745993.461510299
"USA",11,9893278.872551002,15243415.415390665
"USA",12,659496.2955292683,1672428.8635521235
"USA",13,7251040.524098508,21643984.14543631
"USA",14,2203741.151507242,15008781.128763126
"USA",15,2120555.008625641,9436269.46739447
"USA",16,1181709.307754253,14584483.20372531
"USA",17,893151.0210282834,21312412.642401196
"USA",18,5441915.252268384,10452628.170576692
"USA",19,6310747.29729668,12073540.972523473
"USA",20,7257541.222403459,8436323.287758103
"USA",21,1238907.7314897901,2566846.080624265
"USA",22,1565836.2795962053,2102299.6261561755
"USA",23,8668930.542584702,25036039.459515598
"USA",24,8038473.176204745,22534484.30308142
"USA",25,7738298.220695051,12354580.858658135
"USA",26,6744775.578360675,18056895.598580014
"USA",27,7407747.366730285,38089679.179278545
"USA",28,328269.4499720472,20020894.60454657
"USA",29,652650.1112092609,28628390.776072126
"USA",30,2091353.2581680873,2399771.8836416216
"USA",31,1120296.6220174313,1969753.513893936
"USA",32,2364104.8626325047,31486424.76669253
"USA",33,8486300.987502493,13518668.082718145
"USA",34,8063245.318060345,12781835.052482441
"USA",35,401183.5012679769,18314183.692269918
"USA",36,3554455.609164344,11993914.468001613
"USA",37,3432387.817326245,18104042.97848118
"USA",38,9721300.703756535,25141108.805935893
"USA",39,7527016.123940742,11729832.583865205
"USA",40,191226.9717710184,283337.9533506517
"USA",41,5259858.434646195,8012426.52492449
"USA",42,505273.3609553008,19974628.977100633
"USA",43,6210527.790393754,10918203.958466133
"USA",44,8361270.78662248,68621326.8662378
"USA",45,2022737.1171388745,21983247.848679584
"USA",46,1986548.2206450382,2494847.877949739
"USA",47,6958846.102949726,10374540.082365498
"USA",48,8712860.615336813,17487417.91245836
"USA",49,5153933.793841421,6268945.627245353
"USA",50,7174479.833851843,16929671.156826008
"USA",51,2659188.9047305556,25329647.373874232
