"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"USA",2001,1943318.7440119705,656477998.8485924
"USA",2002,2038435.6910358036,669617159.403968
"USA",2003,1649383.909502726,553061275.0150983
"USA",2004,2746257.2881786483,851716500.1847619
"USA",2005,2691544.210956301,813748728.4234421
"USA",2006,2605855.554393669,828979094.2553447
"USA",2007,2435127.97968082,864809704.1811273
"USA",2008,2213723.5387477214,882857549.4392434
"USA",2009,1608980.9631820212,634499515.4569157
"USA",2010,2167662.1883133235,769836416.2461127
"USA",2011,1663692.304400236,691982129.839495
"USA",2012,1964094.3492653922,803131031.119618
"USA",2013,1736445.4980799246,715589454.4381762
"USA",2014,1736526.8071502645,806855523.9550798
"USA",2015,2289649.1279231915,812087125.9073248
"USA",2016,2264066.749707707,1006112729.8587581
"USA",2017,2311358.030429933,1077725252.116946
"USA",2018,2092359.4724430966,993060252.3375835
"USA",2019,2109918.282628732,910998395.0011368
"USA",2020,1966716.3749183684,944928281.0154082
